ID,library_ID,Layer,Latitude(N),Longtitude(E),Altitude(m),AGB g/m2,BGB g/m2,SWC,DOC(mg/kg),DON(mg/kg),NH4-N(mg/kg),NO3-N(mg/kg),AP£¨mg/kg£©,pH,SOC(g/kg),TN(g/kg),TP(g/kg),C/N,MAP(mm),MAT(¡æ)
QZ1,13,topsoil,28.8927,90.3372,4629,44.08,472.84,0.25,293.62,768.94,24.8,18.91,6.32,7.87,14.59,1.29,0.05,11.35,372.42,-0.08
QZ2,14,subsoil,28.8927,90.3372,4629,44.08,339.04,0.25,376.97,703.77,14.51,10.66,2.83,8.06,15.46,1.72,0.2,9,372.42,-0.08
QZ3,33,topsoil,29.1382,89.2402,3888,98.55,2570.29,0.38,401.7,841.79,52.7,7.57,15.28,8.98,21.89,1.52,0.22,14.42,366.11,-0.41
QZ4,34,subsoil,29.1382,89.2402,3888,98.55,2453.81,0.34,361.16,380,6.06,2.43,1.38,8.98,14.6,0.34,0.17,43.08,366.11,-0.41
QZ5,35,topsoil,29.1525,88.6192,4048,13.19,46.76,0.07,184.86,279.76,8.93,6.36,4.9,8.5,3.59,1.12,0.12,3.21,360.04,-0.41
QZ6,36,subsoil,29.1525,88.6192,4048,13.19,66.25,0.11,176.52,218.92,8.38,5.64,2.39,8.42,3.21,0.32,0.17,10.02,360.04,-0.41
QZ7,15,topsoil,29.0595,87.9263,4180,34.25,53.69,0.16,216.18,315.79,12.24,8.1,5.45,8.23,6.79,0.62,0.13,10.97,365.4,0.04
QZ8,16,subsoil,29.0595,87.9263,4180,34.25,1925.12,0.17,260.12,415.63,17.66,10.74,1.94,8.02,9.6,0.87,0.11,11.03,365.4,0.04
QZ9,17,topsoil,29.242,87.2143,4451,17.29,255.47,0.1,206.8,456.8,8.03,4.21,5.66,7.46,6.38,0.67,0.04,9.49,293.86,-1.13
QZ10,18,subsoil,29.242,87.2143,4451,17.29,761.21,0.13,232.39,501.3,7.36,2.23,2.07,7.31,5.92,0.61,0.03,9.66,293.86,-1.13
QZ11,19,topsoil,29.505,86.4575,4501,40.92,11284.85,0.18,505.92,3756.25,204.29,27.61,5.95,6.78,42.17,2.99,0.09,14.12,268.52,-1.38
QZ12,20,subsoil,29.505,86.4575,4501,40.92,2588.91,0.19,363.06,1696.31,58.28,11.83,3.35,6.97,30.27,2.51,0.12,12.05,268.52,-1.38
QZ13,49,topsoil,29.4088,85.5657,4833,69.34,681.54,0.14,346.53,1014.09,17.99,9.5,8.06,7.43,7.2,0.54,0.09,13.33,255.19,-2.89
QZ14,50,subsoil,29.4088,85.5657,4833,69.34,626.12,0.13,256.53,649.2,15.96,7.33,3.48,7.51,7.13,0.61,0.03,11.78,255.19,-2.89
QZ15,21,topsoil,29.5028,84.5588,4603,40.27,301.37,0.07,164.85,320.58,17.6,10.94,3.31,7.56,4.6,0.37,0.01,12.27,258.23,-2.45
